representation,representation_type,reduce_dim,input_dim,val_accuracy,test_accuracy,test_f1,test_mcc,used_in_paper_table,used_in_paper_figure,checkpoint,source_run
F,F,,1280,0.6431884057971015,0.6781223805532272,0.73806275579809,0.3623001595887164,true,false,outputs/checkpoints/F_best.pt,results_650m
S,S,,500,0.5869565217391305,0.609667504889634,0.7040881169243804,0.22573952792082652,true,false,outputs/checkpoints/S_best.pt,results_650m
P-1,P,1,500,0.603768115942029,0.6244761106454317,0.6810631229235881,0.2420904837303567,false,false,outputs/checkpoints/P1_best.pt,results_650m
P-2,P,2,1000,0.5933333333333334,0.6286672254819782,0.7055173941945491,0.25866250704483645,false,true,outputs/checkpoints/P2_best.pt,results_650m
P-4,P,4,2000,0.6257971014492754,0.648225761385862,0.712884834663626,0.2965294397552327,true,true,outputs/checkpoints/P4_best.pt,results_650m
P-6,P,6,3000,0.6072463768115942,0.6311818943839062,0.719626168224299,0.2773397153008838,false,true,outputs/checkpoints/P6_best.pt,results_650m
P-8,P,8,4000,0.6046376811594203,0.647108130762783,0.7242960052390308,0.30480887529781003,false,true,outputs/checkpoints/P8_best.pt,results_650m
P-16,P,16,8000,0.6353623188405797,0.668622520257055,0.7209411764705882,0.33559034494046125,false,true,outputs/checkpoints/P16_best.pt,results_mlp_p16_p32
P-32,P,32,16000,0.6515942028985507,0.6728136350936016,0.7382070198971608,0.3553694209469709,false,true,outputs/checkpoints/P32_best.pt,results_mlp_p16_p32
N-1,N,1,500,0.6611594202898551,0.6817546800782341,0.7420158550396376,0.37127669598840624,false,false,outputs/checkpoints/N1_best.pt,results_mlp_n1_to_n6_rerun
N-2,N,2,1000,0.6614492753623188,0.6873428331936295,0.7449281969455208,0.3817417688785031,false,true,outputs/checkpoints/N2_best.pt,results_mlp_n1_to_n6_rerun
N-4,N,4,2000,0.6550724637681159,0.691533948030176,0.7460901563937442,0.38854230244236315,true,true,outputs/checkpoints/N4_best.pt,results_mlp_n1_to_n6_rerun
N-6,N,6,3000,0.652463768115942,0.6811958647666946,0.7356960852443827,0.364779139346017,false,true,outputs/checkpoints/N6_best.pt,results_mlp_n1_to_n6_rerun
N-8,N,8,4000,0.6484057971014493,0.6892986867840178,0.7436606731212541,0.3831875852823992,false,true,outputs/checkpoints/N8_best.pt,results_mlp_n_to32
N-16,N,16,8000,0.6530434782608696,0.6809164571109249,0.7347886669763122,0.36369690979203545,false,true,outputs/checkpoints/N16_best.pt,results_mlp_n_to32
N-32,N,32,16000,0.6504347826086957,0.6837105336686226,0.7438914027149321,0.3758902559947515,false,true,outputs/checkpoints/N32_best.pt,results_mlp_n_to32
