metric,group,mean,median,std,min,max,n,mann_whitney_u_p_value_high_vs_low,mann_whitney_u_p_value_positive_vs_low,mann_whitney_u_p_value_negative_vs_low,mann_whitney_u_p_value_positive_vs_negative
positive_count,High impact,1.0488431876606683,1.0,1.005224746510809,0.0,7.0,1167,3.4946612467207146e-05,,,
positive_count,Low impact,1.2017310252996005,1.0,1.0259379288242931,0.0,6.0,1502,3.4946612467207146e-05,,,
negative_count,High impact,0.8157669237360754,1.0,0.8850724542267276,0.0,4.0,1167,3.5945830446615524e-11,,,
negative_count,Low impact,1.0645805592543276,1.0,0.9837912517484975,0.0,5.0,1502,3.5945830446615524e-11,,,
charged_count,High impact,1.8646101113967437,2.0,1.370670604236449,0.0,10.0,1167,1.0617655051731632e-13,,,
charged_count,Low impact,2.266311584553928,2.0,1.4046357450959845,0.0,7.0,1502,1.0617655051731632e-13,,,
net_charge,High impact,0.23307626392459296,0.0,1.3072575014660939,-4.0,5.0,1167,0.12032203155432153,,,
net_charge,Low impact,0.13715046604527298,0.0,1.4379798834590698,-5.0,6.0,1502,0.12032203155432153,,,
charged_ratio,High impact,0.25009245414318754,0.25,0.1842555988487495,0.0,1.0,1167,0.0002842475403316846,,,
charged_ratio,Low impact,0.2729989827076838,0.25,0.1704361294551982,0.0,0.8333333333333334,1502,0.0002842475403316846,,,
positive_ratio,High impact,0.1424273734817361,0.125,0.14736571260355705,0.0,1.0,1167,0.06026288216331771,,,
positive_ratio,Low impact,0.14513244173753587,0.125,0.13079710274757078,0.0,0.75,1502,0.06026288216331771,,,
negative_ratio,High impact,0.10766508066145145,0.08333333333333333,0.12977690005942344,0.0,1.0,1167,2.2165327814422594e-08,,,
negative_ratio,Low impact,0.1278665409701479,0.1111111111111111,0.12304993024717749,0.0,0.6666666666666666,1502,2.2165327814422594e-08,,,
