epoch,train_loss,val_loss,val_accuracy,val_f1,val_mcc,val_threshold,val_positive_rate,selection_score,learning_rate
1,0.5761358079563227,0.5711228387951851,0.67,0.6955719557195572,0.3449020951168851,0.5,0.584,0.67,0.0001
2,0.48325357071697767,0.6014645553827286,0.662,0.7019400352733686,0.3363023041838227,0.5,0.634,0.662,0.0001
3,0.37352161882369017,0.6745228314399719,0.6545,0.6922048997772828,0.3187134033322978,0.5,0.6225,0.6545,0.0001
4,0.2671125110250653,0.8136199764460326,0.6545,0.6853369763205829,0.3151119441775422,0.5,0.598,0.6545,0.0001
5,0.16278101877085552,0.9907913367971778,0.65525,0.6852316822643232,0.3162921971402805,0.5,0.59525,0.65525,5e-05
6,0.11440369056004761,1.203822520405054,0.64525,0.6758053461274846,0.29580280068314163,0.5,0.59425,0.64525,5e-05
7,0.08785058122789301,1.3554755421429872,0.64475,0.6732582202805243,0.2940109590327648,0.5,0.58725,0.64475,5e-05
8,0.060608254844678064,1.4857984950989485,0.6495,0.6778492647058824,0.3037413519153281,0.5,0.588,0.6495,2.5e-05
9,0.04597867363798017,1.7132658303417265,0.634,0.6776750330250991,0.27841860593603973,0.5,0.6355,0.634,2.5e-05
10,0.03770989089347981,1.922055059052771,0.62825,0.6812433011789925,0.27197446152501253,0.5,0.66625,0.62825,2.5e-05
