protein_id,accession,selected_identity_percent,selected_query_coverage_percent,selected_evalue,selected_bit_score,quality_tier,exact_identity100_coverage100,status,pdb_file,pdbUrl,latestVersion,uniprotId,uniprotDescription,organismScientificName,isReviewed,globalMetricValue,error_message
dd53566f0750ba508a966b2b8d2cd667 2KO2_1 A-1,A0AAW0HYR4,92.958,89.87341772151899,5.26e-40,137.0,Q2_high_confidence,False,skipped_existing,3Dstructure\afdb_correct_to_wrong_2500_structures\A0AAW0HYR4.pdb,,,,,,,,
6e5fdb6eb047a6dfdf341f1cabc789f3 SSGCID-RibeA.17832.c A-0,Q1RK63,100.0,100.0,0.0,1188.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q1RK63.pdb,https://alphafold.ebi.ac.uk/files/AF-Q1RK63-F1-model_v6.pdb,6,Q1RK63_RICBR,Cell surface antigen Sca1,Rickettsia bellii (strain RML369-C),False,58.66,
05d68d0bbba9feaf273b4f834eeb36c7 SECSG-Pfu-919736-001 A-0,A0A5C0XNV6,82.0,100.0,8.11e-22,88.6,Q2_high_confidence,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A5C0XNV6.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A5C0XNV6-F1-model_v6.pdb,6,A0A5C0XNV6_PYRFU,PIN domain-containing protein,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),False,88.62,
a0aaa1adb27b554e562e9f05b4ec2a43 SECSG-Pfu-918553-001 A-0,A0A5C0XPN0,100.0,86.95652173913044,1.16e-37,129.0,Q2_high_confidence,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A5C0XPN0.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A5C0XPN0-F1-model_v6.pdb,6,A0A5C0XPN0_PYRFU,Uncharacterized protein,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),False,54.03,
c2a002b0454e9178dae56c678141f8cb NYSGRC-033532 A-0,A0A854Q888,97.095,100.0,0.0,1304.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A854Q888.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A854Q888-F1-model_v6.pdb,6,A0A854Q888_CRYNV,Nuclear protein,Cryptococcus neoformans var. grubii Tu259-1,False,68.75,
0534c1daea66b1edc3745732ee1a7899 5JRL_1 A-1,Q1GQ33,100.0,97.31903485254692,0.0,1467.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q1GQ33.pdb,https://alphafold.ebi.ac.uk/files/AF-Q1GQ33-F1-model_v6.pdb,6,Q1GQ33_SPHAL,Dipeptidyl aminopeptidases/acylaminoacyl-peptidases-like protein,Sphingopyxis alaskensis (strain DSM 13593 / LMG 18877 / RB2256),False,88.69,
e6d2b7aaea2fa38968b3cbd39d566890 NESG-RR264 A-0,A0A7U9DZ84,100.0,100.0,0.0,2054.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A7U9DZ84.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A7U9DZ84-F1-model_v6.pdb,6,A0A7U9DZ84_STRLI,CHAT domain-containing protein,Streptomyces lividans 1326,False,76.12,
3a46686a05b4d6c205f9ba8a6dc50a17 JCSG-244 A-0,O16189,100.0,99.33774834437085,1.43e-105,312.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\O16189.pdb,https://alphafold.ebi.ac.uk/files/AF-O16189-F1-model_v6.pdb,6,O16189_CAEEL,Fungal lipase-like domain-containing protein,Caenorhabditis elegans,False,90.12,
9ac52310e5d3feccbab0e541e2b06716 MCSG-APC65199 A-0,A0AAE9Y469,100.0,100.0,0.0,672.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0AAE9Y469.pdb,https://alphafold.ebi.ac.uk/files/AF-A0AAE9Y469-F1-model_v6.pdb,6,A0AAE9Y469_RHOPA,ABC transporter substrate-binding protein,Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009),False,90.44,
075355ab1665145648efeffaba6fac37 SECSG-Pfu-1661230-001 A-0,A0A5C0XSZ6,100.0,92.37288135593221,5.2e-72,219.0,Q2_high_confidence,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A5C0XSZ6.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A5C0XSZ6-F1-model_v6.pdb,6,A0A5C0XSZ6_PYRFU,Uncharacterized protein,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),False,69.38,
